,producto
0,PULPA CONCENTRADA DE PERA
1,ALCOHOL
2,GIRASOL
3,EXTRACTO DE ALGAS LIOFILIZADO
4,JUGOS
5,TRUCHAS A LAS FINAS HIERBAS
6,ALCAUCIL
7,PARTIDO - ACOPIO DE MAIZ
8,FRAMBUESA
9,PULPA CONCENTRADA DE MANDARINA
10,BORREGAS
11,ARROZ BLANCO PULIDO
12,FRUTO
13,ECHALOTTE
14,MANI CONFITERIA
15,ESTRAGON
16,UVAS FRESCAS (MESA)
17,LANA)
18,GIRASOL CONFITERO
19,PASAS
20,CANOLA
21,SORGO BLANCO
22,BERENJENAS
23,ACEITES
24,CAPUERA
25,LAVANDA
26,MATE COCIDO
27,BOVINOS
28,ALZA MELARIA
29,LERCHUGA GALLEGA
30,VAQUILLONAS
31,ACEITE DE CARTAMO
32,PULPA CONGELADA DE POMELO
33,REPOLLO
34,POROTO
35,HARINA DE TRIGO
36,ACEITE ESENCIAL DE LEMONGRASS
37,VACAS
38,LECHUGA MANTECOSA
39,MORAS CONGELADAS
40,SAUCO
41,OREGANO
42,RESIDUO VEGETAL
43,NOVILLOS
44,JUGO DE UVA
45,LANA SUCIA
46,MORILLAS
47,SOJA
48,PEPITA
49,CHOCOLATE
50,PAPILLA PARA BEBE
51,POROTO COLORADO
52,RABANITO
53,PASTO LIMON
54,ZARZAMORA
55,ARROZ
56,EXPELLER DE CANOLA
57,ACEITE DE GIRASOL
58,ZUCCINI
59,NUEZ PECAN
60,AVELLANO
61,PULPA DE DURAZNO
62,PERAS CONGELADAS
63,AZUCAR DE CAï¿½A
64,RAIZ
65,MILENRAMA
66,ZANAHORIA
67,ESPARRAGOS
68,OTROS PRODUCTOS ORGANICOS.
69,JUGO CONCENTRADO CONGELADO DE LIMON
70,CORIANDRO
71,TURRON
72,TRIGO
73,PULPA DE MANZANA
74,MANI FRITO SALADO
75,MONTE
76,MOSTO
77,GANADERIA BOVINA
78,JUGO DE ALOE VERA SABORIZADO
79,JUGO PASTEURIZADO CONGELADO DE MANDARINA
80,VINAGRE
81,GERANIO
82,EMULSION CORPORAL SUAVIZANTE
83,CIRUELA DESECADA
84,JUGO
85,PULPA CONCENTRADA DE CIRUELA
86,COMERCIALIZACION DE MANI
87,VIVERO
88,MEGAFARDOS DE ALFALFA.
89,LINO
90,COLZA CANOLA
91,PASTA DE PERA
92,JUGO CONCENTRADO CONGELADO DE MANDARINA
93,AROMAS DE PERA
94,GUANACOS
95,MAIZ PISINGALLO
96,HORTICULTURA: (RAIZ
97,MORAS SILVESTRES
98,CIRUELA DESHIDRATADA
99,PIMIENTOS
100,CEBOLLA VERDEO
101,ACEITE DE LIMPIEZA
102,CURCUMA
103,ACETO
104,POROTO SABLE
105,HOJAS
106,OLIVA
107,JUGO PASTEURIZADO CONGELADO DE NARANJA
108,SORGO
109,ZUCCHINI
110,CEREALES
111,FRUTILLA
112,CASSIS
113,COLIFLOR
114, TE NEGRO
115,TERNERAS
116,KALE
117,HIGOS
118,MANZANA DESHIDRATADA
119,HORTALIZAS
120,GALLETA DE ARROZ
121,SERUM CONTORNO DE OJOS
122,TOMATE PERITA
123,PULPA DE CIRUELA
124,GANADERIA OVINA (CARNE
125,CASTAï¿½A
126,AVENA
127,ACEITE DE COLZA CANOLA
128,AZAFRAN
129,PASTURA NATURAL
130,DURAZNO
131,GANADERIA OVINA
132,GRANOS
133,EMULSION CORPORAL ANTIAGE
134,OELAGINOSAS
135,HARINAS
136,FASE OLEOSA DE LIMON
137,ALAMO
138,PISTACHO
139,ESPUMANTES
140,STEVIA
141,LANA PEINADA
142,CIRUELA
143,CEREZA
144,GRANADAS
145,PULPA CONCENTRADA DE MANZANA
146,NECTARINAS
147,PURE DE MANZANA CONCENTRADO
148,NOGALES
149,FRUTAS IQF
150,HARINA SOJA
151,JUGO CONCENTRADO DE MANDARINA
152,BROCOLI
153,LECHE
154,NUCLEOS
155,SEMILLAS DE POMELO
156,ACEITE DE JOJOBA
157,PURE DE DAMASCO
158, MANZANA DESHIDRATADA
159,CAMPO INCULTO
160,DURAZNOS.
161,MEMBRILLO
162,JENJIBRE
163,MOSTO DE UVA
164,PURE DE ZAPALLO
165,MANI.
166,CREMA FACIAL DIURNA
167,UVA PASA
168,CEBADA
169,ESPARRAGO
170,JUGO DE UVA CONCENTRADO BLANCO
171,SEMILLA DE JOJOBA
172,CILANTRO
173,ARROZ.
174,ACEITE DE OLIVA
175,ACEITE ESENCIAL DE LIMON
176,CHUFA
177,SEMILLAS DE LIMON
178,MIJO
179,PURE DE BATATA
180,KIWI
181,ARVEJAS
182,MELAZA
183,MANI TOSTADO
184,PASTURAS
185,MIEL
186,TE SABORIZADO
187,AROMATICAS
188,CIRUELA 
189,CORTES DE CARNE VACUNA CONGELADA
190,JUGO CONCENTRADO CONGELADO DE POMELO
191,TONICO FACIAL
192,EXPELLER DE CARTAMO
193,JUGO DE ALOE VERA
194,ELAB ACEITE ROSA MOSQUETA
195,PULPA
196,JUGO PASTEURIZADO CONGELADO DE POMELO
197,MANZANILLA
198,AJENJO
199,SERUM CONTORNO DE LABIOS
200,PULPA DE ZANAHORIA
201,ACOPIO DE CEREALES
202,ROSA MOSQUETA
203,PAK CHOY
204,CAï¿½A DE CASTILLA
205,VINO - PINOT GRIS
206,MANI 
207,REBOZADOR DE ARROZ
208, LINO
209,JUGO CONCENTRADO DE UVA
210,HABAS
211,ACEITUNAS
212,BANANO
213,UVA DE MESA
214,CHIA (SALVIA HISPANICA L.)
215,TOPS DE LANA
216,GRANADO
217,HARINA DE GIRASOL
218,FRUTOS) - FRUTALES: (CAROZO
219,CREMA FACIAL NOCTURNA NUTRITIVA
220,ARANDANOS
221,CEBADA-ALFALFA-VICIA-RABANITO-NABO-REMOLACHA-RUCULA-LECHUGA-PUERRO-CEBOLLA
222,APIO
223,MEDICINALES
224,HARINA DE ARROZ
225,TOMATE
226,JUGO CONCENTRADO TURBIO DE PERA
227,PURE DE ZANAHORIA
228,PULPA DE PERA
229,ALFALFA
230,PURE DE DURAZNO
231,HARINA ZOOTECNICA
232,AJI
233,CAMPO NATURAL
234,ACEITE ESENCIAL DE MANDARINA
235,VINO ESPUMANTE
236,ACEITE ESENCIAL DE OREGANO
237,REMOLACHA
238,MELISA
239,PARAMELA
240,LECHUGA
241,FRAMBUESA CONGELADA
242,SANDIA
243,CEBOLLA
244,COLZA
245,ALBAHACA
246,MALBEC 2015
247,ACEITE DE MANDARINA
248,CAPONES
249,PURE DE DAMASCO CONCENTRADO
250,FASE OLEOSA DE NARANJA
251,VEGETAL.
252,ANANA
253,CORDEROS
254,FRUTALES
255,FRACCIONAMIENTO DE MIEL
256,OLIVOS
257,MIEL + EXTRACCION
258,OVEJAS
259,RADICHETA
260,BLOUSSE (PUNCHAS)
261,AROMAS DE  MANZANA
262,GIRASOL ALTO OLEICO
263,QUESO SABORIZADO
264,LIMON
265,OTROS.   
266,EXPELLER DE COLZA
267,OLIVO
268,AVENA ARROLLADA
269,GUINDA
270,CONGELADO DE FRUTILLAS
271,NUEZ SECA PELADA
272,LEGUMINOSAS
273,AGRICULTURA
274,ZAPALLO RED HOKKAIDO
275,CEREZAS
276,MANDARINA
277,QUINOTO
278,HOJA
279,SYRUP
280,JOJOBA
281,ALGARROBO
282,VD
283,DAMASCO
284,FRUTAS
285,GUINDAS
286,CHIA (SALVIA HISPANICA L)
287,PURE DE PERA CONCENTRADO
288,HORTALIZAS DE HOJA
289,SORGO FORRAJERO
290,HARINA DE MANI
291,FRUTAS TROPICALES
292,ARVEJA
293,ACELGA
294,PULPA DE DAMASCO
295,DURAZNO 
296,LIMA
297,CARAMELOS
298,ACEITE ESENCIAL DE GERANIO
299,UVA
300,SEMILLA DE CEBOLLA
301,AJO
302,AVELLANAS
303,CORINTO
304,YERBA MATE
305,TE VERDE
306,NUEZ
307,PEREJIL
308,MOSTO CONCENTRADO DE UVA
309,ALCAUCIL.
310,NECTARINAS 
311,ARANDANO
312,QUESO
313,FRUTOS
314,MELON
315,ACEITES DE COLZA
316,NABO
317,DESCANSO
318,TE NEGRO
319,SEMILLA DE LECHUGA
320,CIRUELAS SECAS
321,SMOOTHIES
322,FRUTICULTURA
323,MANZANAS
324,LINO?CEBADA?CENTENO?TRITICALE?SOJA-MAIZ?MOSTAZA
325,PALTA
326,SEMOLA DE ARROZ
327,AZUCAR
328,HARINA
329,CEBOLLA DE VERDEO
330,CITRICOS).
331,CREMA FACIAL ANTIAGE
332,TOMILLO
333,TE NEGRO 
334, EXPELLER DE GIRASOL
335,EXPELLER DE COLZA CANOLA
336,MIEL.
337,PULPA CONGELADA DE NARANJA
338,CIRUELAS DESECADAS
339,PROCESAMIENTO (ACONDICIONAMIENTO) DE CEREALES
340,GEL DE ALOE VERA
341,ZAPALLO
342,ROMERO
343,MANDIOCA
344,JUGO PASTEURIZADO CONGELADO DE LIMON
345,ESCAROLA
346,MANZANA
347,JUGO CONCENTRADO DE NARANJA
348,PASTIZAL NATURAL
349, RUCULA
350,COLMENAS
351,MOSTAZA
352,VACAS DE TAMBO
353,ACEITE DE OLIVA SABORIZADO
354,MIEL + EXTRACCION DE MIEL
355, ACEITE DE GIRASOL
356,GARRAPIï¿½ADA
357,TERNEROS
358,ACEITE DE MANI
359,ACEITE DE GIRASOL ALTO OLEICO
360,PULIDO
361,CHOCLO
362,FRUTILLA CONGELADA
363,OLIVAS
364,PULPA CONCENTRADA DE DAMASCO
365,CHUPETINES
366,PUERROS
367,HORTICULTURA: HORTALIZAS DE RAIZ
368,MANI
369,LANA LAVADA
370,HARINA DE COLZA
371,HUEVOS
372,CENTENO
373,HARINA GIRASOL
374,MATICO
375,HARINA DE MAIZ
376,CARTAMO
377,PULPA CONCENTRADA DE DURAZNO
378,SUBPRODUCTOS DE LA COLMENA.
379,AJO NEGRO
380,DAMASCOS
381,PELON
382,DINKEL
383,HORTALIZAS DE HOJAS
384,TRUCHA ARCO IRIS
385,YERBA
386,ROSELLA
387,FASE OLEOSA DE POMELO
388,VID
389,CHIA
390,POROTO MUNG
391,MANZANAS.
392,LAUREL
393,QUINOA
394,CERA
395,NARANJA
396,TORTA DE SOJA
397,JUGO CONCENTRADO
398,BATATA
399,ESTAMPADO DE CERA
400,SEMITA DE MAIZ
401,LEGUMINOSAS.
402,NARANJA.
403,MAIZ
404,PONELO
405,HORTICULTURA
406,EXTRACCION
407,HINOJO
408,CASCARILLA DE ROSA MOSQUETA
409,CIRUELA DESHIDRATADA CON CAROZO
410,HORTALIZAS.
411,PURE DE PERA
412,BLANCO PULIDO
413,AJEDREA
414,NOGAL
415,JUGO DE MANZANA
416,MEDICINALES; DULCES
417,CONFITURAS
418,FRUTOS DEL BOSQUE)
419,GIRASOL AO
420,ACEITE DE LIMON
421,AMARANTO
422,MANZANZA
423,CEDRON
424,PURE DE MANZANA
425,ACEITE DE CANOLA
426,EXPELLER DE GIRASOL
427,GROSELLA
428,ALIMENTO BALANCEADO
429,HIGO
430,SEMILLAS
431,SESAMO
432,PALTAS
433,FRUTILLAS
434,PASAS DE UVA
435,PULPA CONGELADA DE LIMON
436,COMERCIALIZACION DE CEREALES
437,ACEITE DE SOJA
438,SIN PROD.
439,ACEITE DE ROSA MOSQUETA
440,PATE DE TRUCHA
441,LINO MARRON
442,NUEZ SECA CON CASCARA
443,PURE DE CIRUELA CONCENTRADO 
444,SIDRA
445,CIRUELAS
446,HISOPO
447,CORTES DE CARNE VACUNA ENFRIADA
448,OLEAGINOSAS.
449,CHAUCHA
450,ZAPALLITO
451,DULCES
452,JUGO CONCENTRADO DE LIMON
453,DURAZNOS
454,CALENDULA
455,EXPELLER DE SOJA
456,ESPARRAGO CONGELADOS
457,CAï¿½A DE AZUCAR
458,ARANDANO CONGELADO
459,PASTOS NATURALES E IMPLANTADOS
460,ALPISTE
461, LIMON
462,SUBPRODUCTOS DE LA COLMENA
463,BORREGOS
464,SALVIA
465,SEMOLA DE MAIZ
466,ALMENDRAS
467,LECHUGA CRESPA
468,BOYSENBERRY
469,CIBOULETTE
470,ABONO VERDE
471,PEPINO
472,PURE DE DURAZNO CONCENTRADO
473,MORA
474,PASTOS NATURALES
475,SOJA.
476,MOLIDA ENVASADA
477,FASE OLEOSA DE MANDARINA
478,ESCAROLA FINA
479,ACEITE ESENCIAL DE POMELO
480,TOROS
481,HARINA DE SOJA
482,TRUCA AL AJI KITUCHO
483,OLEAGINOSAS
484,JUGO CONCENTRADO DE PERA
485,TOFU
486,PUERRO
487,"ALFALFA,CENTENO"
488,VINO
489,FRUTAS AL NATURAL (FRAMBUESAS
490,PRODUCTOS ORGANICOS DE ORIGEN ANIMAL
491,VINOS
492,PASTA DE MANI
493,ALGAS MARINAS
494,YERBA MATE CANCHADA
495,PULPA DE ZAPALLO
496,ACEITE DE CHIA
497,JUGO CONCENTRADO CONGELADO DE NARANJA
498,PAPA
499,TE
500,POMELO
501,LAVANDIN
502,UVAS
503,HIPERICOM
504,HOMINY GRITS
505,ESPINACA
506,KIWIS
507,PIMIENTO
508,PERA
509,INCULTO
510,EMULSION CORPORAL NUTRITIVA
511,ACEITE DE COLZA
512,FORESTALES
513,MENTA
514,UVAS PARA VINIFICAR
515,GARBANZO
516,MANGO
517,SUS DERIVADOS.
518,RUCULA
519,NUECES
520,ACEITE DE PARAMELA
521,TE ROJO
522,ACEITE ESENCIAL DE NARANJA
523,CIRUELA.
524,CARNE VACUNA
525,ARROZ INTEGRAL
526,JUGO CONCENTRADO DE MANZANA
527,PERAS
528,CARNEROS
529,CERELAES
530,ZAPALLO ANCO
531,PULPAS
532,LINO DORADO
533,POROTO NEGRO
